uid,mandal,district,vci
TSSD0499,Tekumatla,Jayashankar Bhupalpally,48.93390904884085
TSSD0500,Telkapalle,Nagarkurnool,39.22108117236653
TSSD0501,Thallada,Khammam,51.184884141613836
TSSD0502,Thangallapalli,Rajanna Sircilla,46.70333287029537
TSSD0503,Tharigoppula,Jangoan,46.13320547968389
TSSD0504,Thimmajipeta,Nagarkurnool,42.40673355079811
TSSD0505,Thimmapur,Karimnagar,47.63362501471938
TSSD0506,Thoguta,Siddipet,37.83417768929541
TSSD0507,Thorrur,Mahabubabad,47.037873363273036
TSSD0508,Thungathurthy,Suryapet,46.70295525442528
TSSD0509,Tipparthy,Nalgonda,44.92966356374763
TSSD0510,Tirumalagiri,Suryapet,46.238565539544254
TSSD0511,Tirumalagiri_Sagar,Nalgonda,43.11352092312098
TSSD0512,Tirumalayapalem,Khammam,47.3068704999009
TSSD0513,Tirumalgiri,Hyderabad,46.97523771991057
TSSD0514,Tiryani,Kumurambheem Asifabad,50.14998327919033
TSSD0515,Tripuraram,Nalgonda,41.58644344824114
TSSD0516,Turkapalle_M,Yadadri Bhuvanagiri,34.56136565405335
TSSD0517,Undavelly,Jogulamba Gadwal,52.56791722564451
TSSD0518,Uppal,Medchal_Malkajgiri,41.63477497666088
TSSD0519,Uppunuthala,Nagarkurnool,48.15469605888153
TSSD0520,Urkonda,Nagarkurnool,49.68471862195717
TSSD0521,Utnur,Adilabad,43.398116556899566
TSSD0522,V_Saidapur,Karimnagar,48.91092172937137
TSSD0523,Vailpur,Nizamabad,48.96681633597532
TSSD0524,Valigonda,Yadadri Bhuvanagiri,44.63649999350423
TSSD0525,Vangoor,Nagarkurnool,48.744870130218764
TSSD0526,Varni,Nizamabad,41.684425971742996
TSSD0527,Vatpally,Sangareddy,51.23554398265772
TSSD0528,Veenavanka,Karimnagar,50.2395890324641
TSSD0529,Veernapalli,Rajanna Sircilla,47.74379574496275
TSSD0530,Velair,Warangal_Urban,45.47801429609676
TSSD0531,Veldanda,Nagarkurnool,49.253463725087066
TSSD0532,Velgatur,Jagtial,45.976445034634864
TSSD0533,Vemanpalle,Mancherial,46.09917286626101
TSSD0534,Vemsoor,Khammam,34.882519908937304
TSSD0535,Vemulapally,Nalgonda,42.63330313063998
TSSD0536,Vemulawada,Rajanna Sircilla,44.53260000801243
TSSD0537,Vemulawada Rural,Rajanna Sircilla,43.900599526178006
TSSD0538,Venkatapur,Mulugu,46.96647140750399
